Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Margo Finance Ltd.,MARGOFIN,Finance - NBFC,34.93,BSE,76.00,-1.94,1,2025-06,0.21,2025-06,165.54,,0.28,1,2025-03,0,0.24,0.68,"MARGOFIN,"
Khandwala Securities Ltd.,KHANDSE,Finance - Stock Broking,34.31,NSE,22.49,1.53,2,2025-06,-1.86,2025-06,0,0,1.21,2,2025-03,0.05,-2.73,1.08,"KHANDSE,"
India Cements Capital Ltd.,INDCEMCAP,Finance - NBFC,34.23,BSE,16.25,-1.10,2,2025-09,0.15,2025-09,225.2,1.95,1.86,2,2025-03,2.44,3.08,1.29,"INDCEMCAP,"
Invigorated Business Consulting Ltd.,INVIGO,Finance - NBFC,34.21,BSE,8.50,-2.30,1,2025-09,-0.22,2025-09,0,,-0.19,1,2025-03,-0.05,0,0,"INVIGO,"
Bombay Talkies Ltd.,BOMTALKIES,Finance - NBFC,33.8,BSE,6.26,4.33,1,2025-09,-0.17,2025-09,0,,7.35,1,2024-03,0,-3.68,-3.68,"BOMTALKIES,"
Qgo Finance Ltd.,QGO,Finance - Investment,32.99,BSE,47.45,2.71,1,2025-06,2.97,2025-06,11.11,0.28,1.75,1,2025-03,4.85,18.28,14.17,"QGO,"
Galactico Corporate Services Ltd.,GALACTICO,Finance - Investment,32.78,BSE,2.18,-1.80,2,2025-06,2.25,2025-06,14.75,1.04,0.95,2,2025-03,0.43,7.12,7.52,"GALACTICO,"
Dynamic Portfolio Management & Services Ltd.,DYNAMICP,Finance - NBFC,32.73,BSE,27.99,-1.13,1,2025-06,0.18,2025-06,179.81,-561.9,2.69,1,2025-03,0.05,1.04,1.75,"DYNAMICP,"
Premier Capital Services Ltd.,PREMCAP,Finance - NBFC,32.47,BSE,8.76,,1,2025-06,-0.22,2025-06,0,0,4.87,1,2025-03,0.09,-1.31,-1.22,"PREMCAP,"
Maruti Global Industries Ltd.,MARUTISE,Finance - Investment,32.39,BSE,64.78,4.99,1,2025-06,13.12,2025-06,2.47,0.02,-1.5,1,2024-03,-1.02,0,-32.09,"MARUTISE,"
KK Fincorp Ltd.,KKFIN,Finance - NBFC,32.27,BSE,57.63,,1,2024-06,-0.18,2024-06,0,,3.02,1,2023-03,0,7.56,8.43,"KKFIN,"
Gold Line International Finvest Ltd.,GOLDLINE,Finance Term Lending,31.78,BSE,0.61,,1,2023-09,0.12,2023-09,271.61,28.29,0.59,1,2022-03,0.01,0.33,0.39,"GOLDLINE,"
MPIL Corporation Ltd.,MPILCORPL,Finance - Others,31.33,BSE,548.15,-5.00,1,2025-06,-2.25,2025-06,0,,2.47,1,2025-03,0.02,-16.71,-13.79,"MPILCORPL,"
Bervin Investment & Leasing Ltd.,BERVINL,Finance - Investment,31.26,BSE,53.00,0.00,1,2025-09,-22.66,2025-09,0,0,1.67,1,2025-03,0.3,-2.9,-0.55,"BERVINL,"
Swati Projects Ltd.,SWATIPRO,Finance - NBFC,31.1,BSE,31.38,-0.35,2,2025-06,-0.34,2025-06,0,,2.7,2,2024-03,0,4.46,5.99,"SWATIPRO,"
Mega Fin (India) Ltd.,MEGFI,Finance - NBFC,31.07,BSE,38.00,,1,2025-06,0.24,2025-06,132.2,1.52,21,1,2024-03,0.05,5.79,8.65,"MEGFI,"
Utique Enterprises Ltd.,UTIQUE,Finance - Investment,30.95,BSE,5.52,-0.18,1,2025-06,1.61,2025-06,19.24,-0.64,0.43,1,2025-03,0,0.71,4.45,"UTIQUE,"
Prismx Global Ventures Ltd.,PRISMX,Finance - Investment,30.74,BSE,0.70,-2.78,2,2025-06,1.03,2025-06,29.73,,0.37,2,2025-03,0.1,0.65,1.86,"PRISMX,"
Parshwanath Corporation Ltd.,PARSHWANA,Finance - Housing,30.69,BSE,98.00,-2.00,1,2025-06,0.4,2025-06,76.16,-14.76,2.5,1,2025-03,0,4.68,5.53,"PARSHWANA,"
Onesource Industries And Ventures Ltd.,"OIVL        ",Finance - Others,30.41,BSE,10.00,0.30,1,2025-06,2,2025-06,15.21,0.73,6.08,1,2024-03,0.21,1.35,1.24,"OIVL        ,"
Munoth Financial Services Ltd.,MUNOTHFI,Finance - Investment,30.27,BSE,58.94,-1.54,1,2025-06,-0.4,2025-06,0,0,4.38,1,2024-03,0.08,2.71,2.53,"MUNOTHFI,"
Darjeeling Ropeway Co Ltd.,DARJEELING,Finance - Investment,29.96,BSE,61.77,,1,2025-06,-0.75,2025-06,0,,3.93,1,2025-03,0.26,-5.44,-2.04,"DARJEELING,"
Indianivesh Ltd.,INDIANVSH,Finance - NBFC,29.94,BSE,7.93,1.67,2,2025-06,-9.35,2025-06,0,0,-0.72,2,2024-03,-3.6,0,3.84,"INDIANVSH,"
Smart Finsec Ltd.,SMARTFIN,Finance - NBFC,29.94,BSE,10.00,2.88,1,2025-06,1.16,2025-06,25.92,0.92,1.88,1,2025-03,0,7.78,10.03,"SMARTFIN,"
Nalin Lease Finance Ltd.,NLFL,Finance - NBFC,29.81,BSE,46.00,3.74,1,2025-09,3.26,2025-09,9.15,0.76,0.81,1,2025-03,0.03,10.58,13.62,"NLFL,"
Intec Capital Ltd.,INTECCAP,Finance - NBFC,29.53,BSE,16.08,0.00,2,2025-03,0.22,2025-03,134.73,9.02,0.79,2,2025-03,1.18,0.64,2.82,"INTECCAP,"
Suvifin Credit Solutions Ltd.,PURSHOTTAM,Finance - NBFC,29.43,BSE,39.65,-1.27,1,2025-09,-2.19,2025-09,0,,0.52,1,2025-03,0.45,-0.77,3.03,"PURSHOTTAM,"
Manraj Housing Finance Ltd.,MANRAJH,Finance - Housing,29.4,BSE,58.80,,1,2025-06,-0.46,2025-06,0,0,-48.09,1,2024-03,-32.8,0,-0.57,"MANRAJH,"
Richfield Financial Services Ltd.,RFSL,Finance - NBFC,29.25,BSE,39.00,-0.15,1,2025-06,0.18,2025-06,165.26,8.45,3.44,1,2024-03,0.14,7.83,9.71,"RFSL,"
Vertex Securities Ltd.,VERTEX,Finance - Stock Broking,29.23,BSE,3.91,-0.76,2,2025-06,-0.92,2025-06,0,0,3.37,2,2025-03,0.61,-7.66,-1.6,"VERTEX,"
Sulabh Engineers & Services Ltd.,SULABEN,Finance - NBFC,29.04,BSE,2.90,-2.36,2,2025-09,3.25,2025-09,11.92,3.86,0.79,2,2025-03,0.05,9.44,11.42,"SULABEN,"
Helpage Finlease Ltd.,HELPAGE,Finance - NBFC,28.67,BSE,25.63,4.31,1,2025-06,2.02,2025-06,14.17,0.57,1.67,1,2025-03,2.63,9.29,14.51,"HELPAGE,"
Easun Capital Markets Ltd.,EASUN,Finance - Investment,28.65,BSE,54.78,4.98,1,2025-06,0.25,2025-06,114.13,,1.29,1,2024-03,0,3.41,3.24,"EASUN,"
Jindal Capital Ltd.,JINDCAP,Finance - Investment,28.36,BSE,39.31,-0.23,1,2025-06,0.81,2025-06,34.89,0.49,2.51,1,2024-03,0.45,11.82,14.6,"JINDCAP,"
Khoobsurat Ltd.,KHOOBSURAT,Finance - Investment,28.22,BSE,0.60,1.69,1,2025-06,-1.33,2025-06,0,,0.46,1,2025-03,0,-5.34,-4.75,"KHOOBSURAT,"
Navigant Corporate Advisors Ltd.,NAVIGANT,Finance - Investment,28.22,BSE,89.50,,1,2025-03,1.65,2025-03,17.06,0.58,2.68,1,2024-03,0,11.85,16.9,"NAVIGANT,"
KJMC Corporate Advisors (India) Ltd.,KJMCCORP,Finance - Stock Broking,27.88,BSE,71.00,,2,2025-06,1.06,2025-06,26.6,0.98,0.41,2,2025-03,0.04,1.67,2.93,"KJMCCORP,"
Kartik Investments Trust Ltd.,KARTKIN,Finance - Investment,27.87,BSE,1142.15,,1,2025-09,-0.02,2025-06,0,,6.65,1,2025-03,0,-0.6,-0.6,"KARTKIN,"
Stanrose Mafatlal Investments & Finance Ltd.,STANROS,Finance - Investment,27.7,BSE,69.80,-0.14,2,2025-03,-2.26,2025-03,0,0,0.69,2,2025-03,0.05,-5.06,-4.74,"STANROS,"
Ashirwad Capital Ltd.,ASHCAP,Finance - Investment,27.18,BSE,3.03,-2.57,1,2025-06,0.55,2025-06,49.87,2.1,1.4,1,2025-03,0.14,4.4,5.18,"ASHCAP,"
Visagar Financial Services Ltd.,VISAGAR,Finance - NBFC,26.86,BSE,0.46,2.22,1,2025-06,1.37,2025-06,19.63,2.66,0.46,1,2024-03,0.69,-1.89,-0.04,"VISAGAR,"
Roselabs Finance Ltd.,ROSELABS,Finance - NBFC,26.51,BSE,26.51,-4.30,1,2025-09,-0.26,2025-09,0,,-5.48,1,2025-03,-1.04,0,-173.35,"ROSELABS,"
Ontic Finserve Ltd.,ONTIC,Finance - Others,26.28,BSE,2.92,4.66,1,2025-06,1.83,2025-06,14.35,0.13,7.47,1,2024-03,0,-86.53,-86.52,"ONTIC,"
Global Capital Markets Ltd.,GLOBALCA,Finance - NBFC,25.89,BSE,0.66,1.54,1,2025-09,-1.11,2025-09,0,0,0.56,1,2025-03,0,-1.87,-1.78,"GLOBALCA,"
Esaar (India) Ltd.,ESARIND,Finance - NBFC,25.74,BSE,12.59,1.29,1,2025-06,-20.8,2025-06,0,,4.1,1,2024-03,1.28,-1.39,6.81,"ESARIND,"
Sanmitra Commercial Ltd.,ZSANMCOM,Finance - Investment,25.48,BSE,12.72,,1,2025-06,0.37,2025-06,68.13,1.39,0.85,1,2024-03,0.64,8.57,5.07,"ZSANMCOM,"
Dynamic Archistructures Ltd.,DAL,Finance - NBFC,24.99,BSE,49.88,,1,2025-06,5.17,2024-12,4.79,0.12,0.68,1,2025-03,0,9.52,13.87,"DAL,"
CFSL Ltd.,CUBIFIN,Finance - NBFC,24.7,BSE,3.79,1.61,1,2025-06,0.39,2025-06,62.85,12.25,1.63,1,2024-03,0,8.19,9.1,"CUBIFIN,"
Cil Securities Ltd.,CILSEC,Finance - Stock Broking,24.33,BSE,48.66,-2.54,1,2025-09,1.95,2025-09,12.47,0.07,0.75,1,2025-03,0,6.79,10.08,"CILSEC,"
Mansi Finance (Chennai) Ltd.,MANSIFIN,Finance - NBFC,24.31,BSE,69.00,-7.07,1,2025-06,3.62,2025-06,6.71,0.88,0.63,1,2024-03,0.93,6.17,8.84,"MANSIFIN,"
Easy Fincorp Ltd.,EASYFIN,Finance - Investment,24.25,BSE,990.00,,1,2025-09,-0.15,2024-06,0,,1.44,1,2025-03,0.08,-0.52,-0.14,"EASYFIN,"
Pro CLB Global Ltd.,PROCLB,Finance - Investment,24.04,BSE,47.10,-1.20,1,2025-06,-0.99,2025-06,0,,2.39,1,2024-03,0,1.67,2.25,"PROCLB,"
Hi-Klass Trading And Investment Ltd.,HIKLASS,Finance - Investment,24.02,BSE,16.90,,1,2025-09,-1.2,2025-09,0,,2.46,1,2025-03,0.33,-6.65,-6.24,"HIKLASS,"
Step Two Corporation Ltd.,STEP2COR,Finance - NBFC,23.66,BSE,32.00,,1,2025-06,-1.53,2025-06,0,,2.31,1,2025-03,0,-0.45,-0.44,"STEP2COR,"
Enbee Trade & Finance Ltd.,ENBETRD,Finance - NBFC,23.44,BSE,0.41,2.50,1,2025-06,6.47,2025-06,3.62,0.06,0.29,1,2025-03,0.64,9.02,12.71,"ENBETRD,"
Rapid Investments Ltd.,RAPIDIN,Finance - NBFC,23.43,BSE,109.00,4.81,1,2025-06,0.48,2025-06,48.41,0.38,2.08,1,2024-03,0,8.97,23.26,"RAPIDIN,"
Zodiac Ventures Ltd.,ZODIACVEN,Finance - Investment,23.4,BSE,2.83,-2.08,2,2025-06,1.14,2025-06,20.69,0.09,0.54,2,2024-03,3.37,4.54,19.79,"ZODIACVEN,"
Onelife Capital Advisors Ltd.,ONELIFECAP,Finance - Investment,22.46,NSE,16.82,-5.03,2,2025-09,-4.08,2025-09,0,,0.89,2,2025-03,0.66,-11.43,-0.91,"ONELIFECAP,"
Bharat Bhushan Finance & Commodity Brokers Ltd.,BHARAT,Finance - Investment,22.36,BSE,33.00,-0.15,1,2025-09,0.17,2025-09,129.28,,0.8,1,2025-03,0,-0.54,-0.58,"BHARAT,"
Shree Securities Ltd.,SHREESEC,Finance - Investment,22.34,BSE,0.28,0.00,1,2025-03,0.66,2025-03,34.01,0.52,2.39,1,2024-03,0,-363.41,-363.41,"SHREESEC,"
Gujarat Lease Financing Ltd.,GLFL,Finance - NBFC,22.32,NSE,8.45,,1,2025-09,0.06,2025-09,372.08,-167.6,-5.4,1,2025-03,-2.46,0,1,"GLFL,"
Greencrest Financial Services Ltd.,GREENCREST,Finance - NBFC,22.3,BSE,0.62,1.64,1,2025-06,-0.62,2025-06,0,0,0.4,1,2024-03,0.6,2,4.26,"GREENCREST,"
Paragon Finance Ltd.,PARAGONF,Finance - NBFC,22.1,BSE,52.00,-6.14,1,2025-09,0.84,2025-09,26.18,-0.95,0.68,1,2025-03,0.02,1.05,1.75,"PARAGONF,"
Abirami Financial Services (India) Ltd.,ABIRAFN,Finance - Investment,21.66,BSE,40.11,-4.52,1,2025-09,0.51,2025-09,42.47,1.45,1.12,1,2025-03,0,2.85,4,"ABIRAFN,"
Swarna Securities Ltd.,SWRNASE,Finance - NBFC,21.6,BSE,72.00,,1,2025-09,0.79,2025-09,27.24,3.82,3.13,1,2025-03,0,13.14,16.33,"SWRNASE,"
GSB Finance Ltd.,GSBFIN,Finance - Investment,20.98,BSE,34.35,-4.85,1,2025-09,-0.16,2025-09,0,0,1.48,1,2024-03,0,12.21,11.78,"GSBFIN,"
NDA Securities Ltd.,NDASEC,Finance - Stock Broking,20.97,BSE,35.25,-1.87,2,2025-06,1.5,2025-06,13.94,0.5,1.67,2,2025-03,0.04,13.35,14.97,"NDASEC,"
Triumph International Finance India Ltd.,TRIUMPIN,Finance - Investment,20.96,BSE,27.60,-3.16,2,2025-06,3.82,2025-06,5.49,0.91,-0.3,2,2024-03,-1.54,0,8.59,"TRIUMPIN,"
Stephanotis Finance Ltd.,STEPHANOTIS,Finance - NBFC,20.95,BSE,32.49,,1,2023-06,-0.14,2023-06,0,,0.82,1,2022-03,0.04,-0.1,-0.11,"STEPHANOTIS,"
TTI Enterprise Ltd.,TTIENT,Finance - NBFC,20.93,BSE,8.30,1.10,1,2025-06,0.76,2025-06,27.4,0.67,0.74,1,2025-03,0.04,3.34,3.48,"TTIENT,"
Harmony Capital Services Ltd.,HRMNYCP,Finance - Investment,20.88,BSE,69.57,,1,2025-09,-0.36,2025-09,0,,29.47,1,2024-03,0,-4.89,-6.7,"HRMNYCP,"
KBS India Ltd.,KBSINDIA,Finance - Stock Broking,20.88,BSE,1.93,2.12,1,2025-09,0.38,2025-09,55.25,2.73,0.61,1,2025-03,0,0.55,1.4,"KBSINDIA,"
Bazel International Ltd.,BAZELINTER,Finance - Investment,20.76,BSE,74.00,0.00,2,2025-03,0.33,2025-03,27.24,1.61,0.41,1,2024-03,0.2,0.81,1.5,"BAZELINTER,"
Tradewell Holdings Ltd.,TRADEWELL,Finance - Investment,20.74,BSE,69.02,,1,2025-06,0.58,2025-06,35.63,4.07,3.25,1,2024-03,0.43,47.75,46.33,"TRADEWELL,"
Comfort Commotrade Ltd.,COMCL,Finance - Stock Broking,20.5,BSE,20.50,3.64,2,2025-09,-4.39,2025-09,0,0,0.37,2,2025-03,0.25,8.89,12.73,"COMCL,"
Golechha Global Finance Ltd.,GOLECHA,Finance - NBFC,20.34,BSE,36.99,,1,2025-06,-0.68,2025-06,0,,2.31,1,2024-03,0,18.65,23.51,"GOLECHA,"
Blue Chip India Ltd.,BLUECHIP,Finance - Investment,20.13,NSE,3.64,,1,2025-06,-2.67,2025-06,0,0,-25.21,1,2025-03,0,-390.31,-390.28,"BLUECHIP,"
NPR Finance Ltd.,NPRFIN,Finance - NBFC,19.9,BSE,33.00,-0.21,1,2025-06,0.51,2025-06,38.86,-2.09,0.4,1,2025-03,0.01,1.22,2.22,"NPRFIN,"
Amrapali Capital & Finance Services Ltd.,ACFSL,Finance - Stock Broking,19.6,BSE,20.04,,1,2025-03,1.15,2025-03,17.03,1.08,0.23,1,2025-03,0.26,1.38,3.34,"ACFSL,"
Abhishek Finlease Ltd.,ABHIFIN,Finance - NBFC,19.21,BSE,41.01,,1,2025-09,0,2025-06,492.5,18.33,3.17,1,2024-03,0,4.95,6.35,"ABHIFIN,"
Shree Salasar Investments Ltd.,SALSAIN,Finance - Investment,19.1,BSE,27.40,,2,2025-06,4.45,2025-06,4.37,0.02,0.36,2,2024-03,2.44,2.59,1.59,"SALSAIN,"
Rita Finance and Leasing Ltd.,RFLL,Finance - NBFC,19.05,BSE,19.05,5.07,1,2025-06,0.59,2025-06,32.4,0.47,1.16,1,2025-03,0.16,3.81,4.64,"RFLL,"
Supra Trends Ltd.,SUPRATRE,Finance - NBFC,19.02,BSE,14.05,0.00,2,2025-03,-1.17,2025-03,0,,3.11,2,2025-03,0.94,-39.77,-13.07,"SUPRATRE,"
Golden Legand Leasing & Finance Ltd.,GOLDLEG,Finance - NBFC,18.45,BSE,13.05,3.98,1,2025-06,2.16,2025-06,8.55,,1.13,1,2025-03,0.63,-17.55,-11.15,"GOLDLEG,"
Prism Finance Ltd.,PRISMFN,Finance - NBFC,18.44,BSE,28.37,,1,2025-06,-1.79,2025-06,0,0,0.71,1,2025-03,0.04,-4.5,-11.48,"PRISMFN,"
GK Consultants Ltd.,GKCONS,Finance - NBFC,18.38,BSE,16.25,4.23,1,2025-09,0.53,2025-09,34.95,-1.23,1.13,1,2025-03,0,0.24,0.32,"GKCONS,"
Gajanan Securities Services Ltd.,GAJANANSEC,Finance - Stock Broking,18.28,BSE,58.92,-2.42,2,2025-06,0.19,2025-06,93.25,3.4,0.15,2,2024-03,0,0.13,0.21,"GAJANANSEC,"
Decillion Finance Ltd.,DFL,Finance - Investment,18.2,BSE,52.00,0.00,1,2025-06,0.07,2025-06,256.34,38.96,1.45,1,2025-03,0.07,0.53,0.99,"DFL,"
DJS Stock & Shares Ltd.,DJSSS,Finance - Stock Broking,18.18,BSE,2.27,-1.73,1,2025-06,0.27,2025-06,66.86,-13.29,2.75,1,2025-03,0,1.83,2.51,"DJSSS,"
Consecutive Investments & Trading Company Ltd.,CITL,Finance - Investment,18.1,BSE,1.14,0.88,1,2025-06,2.58,2025-06,7,0.09,1.01,1,2024-03,0,1.67,3.93,"CITL,"
Gilada Finance & Investments Ltd.,GILADAFINS,Finance - Stock Broking,17.91,BSE,12.99,-0.84,1,2025-06,2.14,2025-06,8.39,0.69,0.86,1,2025-03,0.49,11.11,14.23,"GILADAFINS,"
HB Leasing & Finance Company Ltd.,HBLEAS,Finance - NBFC,17.88,BSE,13.50,-0.74,1,2025-06,-0.3,2025-06,0,,3.18,1,2025-03,0.01,-7.09,-7.06,"HBLEAS,"
Daulat Securities Ltd.,DAULAT,Finance - Stock Broking,17.7,BSE,35.40,1.14,1,2025-06,-0.82,2025-06,0,0,0.77,1,2025-03,0,7.58,7.54,"DAULAT,"
Tokyo Finance Ltd.,TOKYOFIN,Finance - NBFC,17.4,BSE,25.00,3.14,1,2025-09,0.11,2025-09,164.13,-12.12,1.49,1,2025-03,0,1.99,1.97,"TOKYOFIN,"
Franklin Leasing And Finance Ltd.,FRANKLIN,Finance - NBFC,17.36,BSE,11.00,,1,2025-03,0.21,2025-03,83.52,22.39,0.46,1,2025-03,0,0.55,0.94,"FRANKLIN,"
Amrapali Fincap Ltd.,AMRAFIN,Finance - NBFC,17.1,BSE,12.72,,1,2025-03,0.32,2023-03,28.88,-1.85,0.11,1,2025-03,0,0.22,0.39,"AMRAFIN,"
Shyamkamal Investments Ltd.,SHYMINV,Finance - NBFC,17.09,BSE,12.65,-1.48,1,2025-06,0.49,2025-06,34.87,0.69,2.28,1,2025-03,1.61,9.04,6.85,"SHYMINV,"
Moongipa Capital Finance Ltd.,MONGIPA,Finance - NBFC,16.68,BSE,18.20,-3.40,1,2025-09,1.33,2025-09,12.54,0.37,0.68,1,2025-03,0.31,9.41,12.09,"MONGIPA,"
Shricon Industries Ltd.,SHRICON,Finance - Investment,16.62,BSE,134.00,0.00,1,2025-06,0.19,2025-06,87.92,,4.02,1,2025-03,0,-1.18,-1.16,"SHRICON,"
Mehta Securities Ltd.,MEHSECU,Finance - Investment,16.54,BSE,53.55,,1,2025-06,0.16,2025-06,103.4,4.1,3.02,1,2024-03,0,-2.83,-2.83,"MEHSECU,"
Yash Management & Satellite Ltd.,YASHMGM,Finance - Investment,16.32,BSE,9.60,-0.52,2,2025-06,-2.56,2025-06,0,,0.74,2,2025-03,0.05,-8.11,-6.83,"YASHMGM,"
Pulsar International Ltd.,PULSRIN,Finance - NBFC,16.21,BSE,2.28,-2.98,1,2025-06,1.46,2025-06,11.11,0.14,1.33,1,2025-03,0.01,15.64,15.35,"PULSRIN,"
United Credit Ltd.,UNITDCR,Finance - NBFC,16.15,BSE,30.31,-3.26,1,2025-06,1,2025-06,16.16,6.29,0.54,1,2025-03,0,3.46,4.43,"UNITDCR,"
GCM Securities Ltd.,GCMSECU,Finance - Stock Broking,16.15,BSE,0.84,0.00,1,2025-06,-2.26,2025-06,0,0,1.08,1,2025-03,0.48,-17.6,-12.54,"GCMSECU,"
Karnavati Finance Ltd.,KARNAVATI,Finance - Investment,15.78,BSE,1.57,0.64,1,2025-06,-2.17,2025-06,0,,1.6,1,2025-03,1.08,-15.19,-2.11,"KARNAVATI,"
Garbi Finvest Ltd.,GARBIFIN,Finance - NBFC,15.74,BSE,14.04,6.28,1,2025-06,1.42,2025-06,11.09,3.2,0.2,1,2025-03,0,1.87,2.27,"GARBIFIN,"
Sarvottam Finvest Ltd.,SARVOTTAM,Finance - NBFC,15.59,BSE,21.08,4.25,1,2025-06,-0.39,2025-06,0,,0.63,1,2025-03,0,-2.36,-2.14,"SARVOTTAM,"
NEIL Industries Ltd.,NEIL,Finance - NBFC,15.58,BSE,7.97,2.57,1,2025-09,1.36,2025-09,11.47,22.48,0.26,1,2025-03,0.11,2.05,3.45,"NEIL,"
Indergiri Finance Ltd.,INDERGR,Finance - NBFC,15.53,BSE,30.68,,1,2025-06,-1.8,2025-06,0,,6.42,1,2025-03,6.14,-44.39,-9.61,"INDERGR,"
Avasara Finance Ltd.,AVASARA,Finance - NBFC,15.53,BSE,31.06,,1,2025-09,-0.5,2025-09,0,,9.52,1,2025-03,0,-19.98,-19.98,"AVASARA,"
Photon Capital Advisors Ltd.,PHOTON,Finance - Investment,15.44,BSE,102.00,,2,2025-09,-0.58,2025-09,0,0,2,2,2024-03,0,-21.44,2.99,"PHOTON,"
Ashtasidhhi Industries Ltd.,GUJINV,Finance - NBFC,15.44,BSE,20.56,1.98,1,2025-06,-0.02,2025-06,0,0,1.51,1,2025-03,0,0.27,0.38,"GUJINV,"
TCI Finance Ltd.,TCIFINANCE,Finance - NBFC,15.42,NSE,12.10,0.75,1,2025-09,3.5,2025-09,4.4,0.28,-0.2,1,2025-03,-0.02,0,0,"TCIFINANCE,"
Jackson Investments Ltd.,JACKSON,Finance - Investment,15.41,BSE,0.53,-1.85,1,2025-09,-0.82,2025-09,0,,0.56,1,2025-03,0,-3.11,-3.11,"JACKSON,"
SRG Fingrow Finance Ltd.,SRGFFL,Finance - NBFC,15.32,BSE,28.50,,1,2025-03,0.35,2025-03,44.02,-25.3,1.04,1,2025-03,0,2.39,3.14,"SRGFFL,"
Adcon Capital Services Ltd.,ADCON,Finance - NBFC,15.27,BSE,0.77,-4.94,1,2025-06,2.49,2025-06,6.12,0.04,0.68,1,2024-03,0,2.86,3.34,"ADCON,"
Econo Trade (India) Ltd.,ETIL,Finance - Investment,15.25,BSE,8.19,0.37,1,2025-06,2.39,2025-06,6.38,0.17,0.33,1,2025-03,0.52,5.06,7.72,"ETIL,"
Stellar Capital Services Ltd.,STELLAR,Finance - NBFC,15.23,BSE,6.10,,1,2025-03,0.12,2025-03,129.04,-6.44,0.33,1,2024-03,0,-1.65,-1.6,"STELLAR,"
India Lease Development Ltd.,INDLEASE,Finance - NBFC,15.17,BSE,10.32,-1.24,1,2025-06,-0.12,2025-06,0,,1.46,1,2025-03,0,-1.09,-1.08,"INDLEASE,"
Beryl Securities Ltd.,BERYLSE,Finance - NBFC,15,BSE,30.92,4.99,1,2025-06,0.34,2025-06,44.36,-7.61,1.51,1,2024-03,0,1.82,2.7,"BERYLSE,"
GSL Securities Ltd.,GSLSEC,Finance - NBFC,14.92,BSE,45.92,,1,2025-06,-0.15,2025-06,0,,2.6,1,2025-03,0,-2.86,-4.24,"GSLSEC,"
Jindal Leasefin Ltd.,JLL,Finance - Investment,14.85,BSE,49.35,5.00,1,2025-06,-2.38,2025-06,0,,2.34,1,2024-03,0.07,-1.94,-2.19,"JLL,"
Integrated Capital Services Ltd.,ICSL,Finance - NBFC,14.77,BSE,4.31,4.87,2,2025-06,0.13,2025-06,158.79,11,1.91,2,2025-03,0.33,-0.09,-0.19,"ICSL,"
Sumeru Industries Ltd.,SUMERUIND,Finance - Investment,14.4,BSE,2.00,-1.96,1,2025-09,0.07,2025-09,205.71,10.03,1.38,1,2025-03,0,0.9,1.13,"SUMERUIND,"
Gemstone Investments Ltd.,GEMSI,Finance - NBFC,14.28,BSE,1.94,0.00,1,2025-06,0.13,2025-06,107.35,-6.88,0.57,1,2025-03,0,1.29,1.9,"GEMSI,"
Shrydus Industries Ltd.,SHRYDUS,Finance - Investment,14.21,BSE,4.44,-0.22,2,2025-03,8.26,2025-03,1.72,0.02,,1,2024-03,1.83,13.34,5.08,"SHRYDUS,"
Frontier Capital Ltd.,FRONTCAP,Finance - NBFC,14.18,BSE,8.50,0.00,1,2025-06,0.34,2025-06,41.22,1.18,5.01,1,2024-03,0.03,4.57,4.46,"FRONTCAP,"
Jayabharat Credit Ltd.,JAYBHCR,Finance - NBFC,14.13,BSE,28.25,,1,2025-06,-1.05,2025-06,0,0,-0.23,1,2024-03,-0.99,0,0,"JAYBHCR,"
Longspur International Ventures Ltd.,LONGSPUR,Finance - Others,13.99,BSE,10.27,1.99,1,2025-06,0.65,2025-06,21.56,0.17,0.47,1,2025-03,0.1,2.06,3.29,"LONGSPUR,"
Market Creators Ltd.,MKTCREAT,Finance - Investment,13.92,BSE,13.26,,1,2025-06,-0.03,2025-06,0,0,1.32,1,2025-03,0.57,1.65,8.47,"MKTCREAT,"
Sharp Investments Ltd.,SHARPINV,Finance - Investment,13.8,BSE,0.57,0.00,1,2025-06,0.05,2025-06,265.38,17.85,0.49,1,2025-03,0,0,0.01,"SHARPINV,"
Yunik Managing Advisors Ltd.,YunikM,Finance - Investment,13.66,BSE,9.56,-4.21,1,2025-06,-0.09,2025-06,0,0,43.12,1,2025-03,0,-21.56,-21.56,"YunikM,"
Svaraj Trading & Agencies Ltd.,ZSVARAJT,Finance - Investment,13.61,BSE,8.85,0.80,1,2025-06,0.49,2025-06,27.62,,0.23,1,2024-03,0,-0.01,0.1,"ZSVARAJT,"
BFL Asset Finvest Ltd.,BFLAFL,Finance - NBFC,13.57,BSE,13.30,0.30,1,2025-06,2.16,2025-06,6.27,0.05,0.6,1,2025-03,0.18,8.1,9.43,"BFLAFL,"
Vani Commercials Ltd.,VANICOM,Finance - NBFC,13.56,BSE,11.54,-1.95,1,2025-06,0.93,2025-06,14.64,,0.97,2,2025-03,2.22,1.91,2.33,"VANICOM,"
